class_id,labels,scientific_name
483,TRICOLORED BLACKBIRD,AGELAIUS TRICOLOR
484,TROPICAL KINGBIRD,TYRANNUS MELANCHOLICUS
485,TRUMPTER SWAN,CYGNUS BUCCINATOR
486,TURKEY VULTURE,CATHARTES AURA
487,TURQUOISE MOTMOT,EUMOMOTA SUPERCILIOSA
488,UMBRELLA BIRD,CEPHALOPTERUS
489,VARIED THRUSH,IXOREUS NAEVIUS
490,VEERY,CATHARUS FUSCESCENS
491,VENEZUELIAN TROUPIAL,ICTERUS ICTERUS
492,VERDIN,AURIPARUS FLAVICEPS
493,VERMILION FLYCATHER,PYROCEPHALUS OBSCURUS
494,VICTORIA CROWNED PIGEON,GOURA VICTORIA
495,VIOLET BACKED STARLING,CINNYRICINCLUS LEUCOGASTER
496,VIOLET CUCKOO, CHRYSOCOCCYX XANTHORHYNCHUS
497,VIOLET GREEN SWALLOW,TACHYCINETA THALASSINA
498,VIOLET TURACO,MUSOPHAGA VIOLACEA
499,VISAYAN HORNBILL,PENELOPIDES PANINI
500,VULTURINE GUINEAFOWL,ACRYLLIUM VULTURINUM
501,WALL CREAPER,TICHODROMA MURARIA
502,WATTLED CURASSOW,CRAX GLOBULOSA
503,WATTLED LAPWING,VANELLUS INDICUS
504,WHIMBREL,NUMENIUS PHAEOPUS
505,WHITE BREASTED WATERHEN,AMAURORNIS PHOENICURUS
506,WHITE BROWED CRAKE,AMAURORNIS CINEREA
507,WHITE CHEEKED TURACO,TAURACO LEUCOTIS
508,WHITE CRESTED HORNBILL,TROPICRANUS ALBOCRISTATUS
509,WHITE EARED HUMMINGBIRD,BASILINNA LEUCOTIS
510,WHITE NECKED RAVEN,CORVUS ALBICOLLIS
511,WHITE TAILED TROPIC,PHAETHON LEPTURUS
512,WHITE THROATED BEE EATER,MEROPS ALBICOLLIS
513,WILD TURKEY,MELEAGRIS GALLOPAVO
514,WILLOW PTARMIGAN,LAGOPUS LAGOPUS
515,WILSONS BIRD OF PARADISE,CICINNURUS RESPUBLICA
516,WOOD DUCK,AIX SPONSA
517,WOOD THRUSH,HYLOCICHLA MUSTELINA
518,WOODLAND KINGFISHER,HALCYON SENEGALENSIS
519,WRENTIT,CHAMAEA FASCIATA
520,YELLOW BELLIED FLOWERPECKER,DICAEUM MELANOXANTHUM
521,YELLOW BREASTED CHAT,ICTERIA VIRENS
522,YELLOW CACIQUE,CACICUS CELA
523,YELLOW HEADED BLACKBIRD,XANTHOCEPHALUS
524,ZEBRA DOVE,GEOPELIA STRIATA
